     x_i,      y_i
  0.0000,   1.0000
  0.1250,   1.1250
  0.2500,   1.2656
  0.3750,   1.4238
  0.5000,   1.6018
  0.6250,   1.8020
  0.7500,   2.0273
  0.8750,   2.2807
  1.0000,   2.5658
  1.1250,   2.8865
  1.2500,   3.2473
  1.3750,   3.6532
  1.5000,   4.1099
  1.6250,   4.6236
  1.7500,   5.2016
  1.8750,   5.8518
  2.0000,   6.5833
  2.1250,   7.4062
  2.2500,   8.3319
  2.3750,   9.3734
  2.5000,  10.5451
  2.6250,  11.8632
  2.7500,  13.3461
  2.8750,  15.0144
  3.0000,  16.8912
  3.1250,  19.0026
  3.2500,  21.3779
  3.3750,  24.0502
  3.5000,  27.0564
  3.6250,  30.4385
  3.7500,  34.2433
  3.8750,  38.5237
  4.0000,  43.3392
  4.1250,  48.7566
  4.2500,  54.8512
  4.3750,  61.7075
  4.5000,  69.4210
  4.6250,  78.0986
  4.7500,  87.8609
  4.8750,  98.8436
  5.0000, 111.1990
